역명,외부↔대합실,대합실↔승강장,환승통로,"이동식
발판",역무실 연락처
소요산역,평지(지상역1번),E,국철-E,×,031-865-7788
동두천역,"E(1,2번)",E,,×,031-862-7788
보산역,"E(1,2번)",E,,×,031-866-4987
동두천중앙역,"R(지상역 1,2,3,4번)",E,,×,031-865-2788
지행역,"R(지상역 1,2,3,4번)",E,,×,031-862-2788
덕정역,"R(지상역 1,2,3,4번)",E,,×,031-858-2788
덕계역,R(1번)L(2번),E,,×,031-828-3386
양주역,"R(지상역 1,2번)",E,,×,031-843-2968
녹양역,"R(지상역 1,2번)",E,,×,031-878-5769
가능역,"R(지상역 1,2번)",E,,×,031-842-7788
의정부역,"E(1,2번/3,4번사이)",L,,×,031-872-7788
회룡역,"L(지상역 1,2번)",L,,×,031-872-7744
망월사역,"R(지상역 1,2번)","E, L",,×,031-873-7788
도봉산역,L(지상역 1번),L,7호선-L,×,02-955-7345
도봉역,L(1번),L,,×,02-954-1348
방학역,"L(1,2,3,4번)",L,,×,02-3492-0197
창동역,"E(1,2번)",L,4호선-L,×,02-992-3388
녹천역,"E(1,2번)L(3,4번)",E,,×,02-905-0182
월계역,"R(1,2번사이)",L,,×,02-906-2522
성북역,L(1번),E-L,,×,02-917-7445
석계역,E(4번),E,6호선-E,×,02-943-7788
신이문역,"E(1,2,3,5번)",외대-E석계-E,,×,02-960-1871
외대앞역,"E(1,2번/5,6번사이)",소요산 -L온수-없음,,×,02-966-6705
회기역,"E(1,2번)",E,중앙선-E,×,02-965-1467
청량리역,E(6번),E,,×,02-6110-1241
제기동역,"E(1,5번)",E,,?,02-6110-1251
신설동역,"E(1,2,3번/12번)",E,2호선-L,×,02-6110-1261
동묘앞역,"E(1,3번/10번)",E,6호선-E,,02-6110-1271
동대문역,E(6번),E,4호선-E(수직형),×,02-6110-1281
종로5가역,E(8번),E,,?,02-6110-1291
종로3가역,E(2-1번)L(15번),E,3호선-L5호선-L,×,02-6110-1301
종각역,E(3번),E,,×,02-6110-1311
시청역,"E(1,2번/3,4번사이)",E,2호선-E,×,02-6110-1321
서울역역,E(2번),E,4호선-E-L-E,?,02-3149-2509
남영역,L(1번),L,,×,02-3780-5434
용산역,E(E마트),E,중앙선-E,×,02-3780-5768
노량진역,"L(지상역 1,2번)",L,9호선-외부환승,×,02-815-4066
